Z,element,energy,vvol,magmom,potential,Valency,summed_DDEC6_bond_order,row,column
1,H,-1046.929,10.509,-0.009,H,1,1.174,1,1
2,He,-1041.792,11.205,-0.005,He,2,0.558,1,18
3,Li,-1047.102,11.371,-0.084,Li,1,0.79,2,1
4,Be,-1049.968,11.021,-0.151,Be,2,2.123,2,2
5,B,-1052.084,10.507,-0.157,B,3,3.082,2,13
6,C,-1052.253,10.249,-0.102,C,4,3.826,2,14
7,N,-1051.44,10.461,0.047,N,5,3.434,2,15
8,O,-1050.052,10.854,0.227,O,6,2.626,2,16
9,F,-1047.291,11.355,0.174,F,7,1.568,2,17
10,Ne,-1040.445,11.945,0.02,Ne,8,1.018,2,18
11,Na,-1043.951,12.209,-0.045,Na,1,1.15,3,1
12,Mg,-1046.674,12.071,-0.064,Mg,2,1.947,3,2
13,Al,-1050.662,11.71,-0.085,Al,3,3.122,3,13
14,Si,-1052.744,11.367,-0.097,Si,4,4.321,3,14
15,P,-1052.686,11.181,-0.056,P,5,4.323,3,15
16,S,-1050.065,11.365,0.041,S,6,3.805,3,16
17,Cl,-1045.493,11.971,0.143,Cl,7,3.024,3,17
18,Ar,-1038.368,12.64,0.177,Ar,8,2.362,3,18
19,K,-1040.117,13.197,0.076,K_pv,7,2.138,4,1
20,Ca,-1044.746,12.87,-0.248,Ca_pv,8,2.694,4,2
21,Sc,-1052.063,12.349,-0.56,Sc,3,3.186,4,3
22,Ti,-1054.708,11.769,-0.965,Ti,4,3.614,4,4
23,V,-1055.817,11.417,-1.43,V,5,3.877,4,5
24,Cr,-1055.918,11.335,-1.855,Cr,6,3.848,4,6
25,Mn,-1055.056,11.417,-2.064,Mn,7,4.22,4,7
26,Fe,-1054.345,11.358,2.196,Fe,8,3.972,4,8
27,Co,-1053.327,11.351,1.685,Co,9,3.804,4,9
28,Ni,-1051.657,11.511,0.887,Ni,10,3.533,4,10
29,Cu,-1049.282,11.558,0.119,Cu,11,3.224,4,11
30,Zn,-1046.96,11.717,-0.098,Zn,12,3.416,4,12
31,Ga,-1049.439,11.748,-0.2,Ga,3,3.754,4,13
32,Ge,-1051.07,11.75,-0.129,Ge,4,4.219,4,14
33,As,-1051.15,11.734,-0.068,As,5,4.361,4,15
34,Se,-1049.187,11.875,-0.004,Se,6,4.192,4,16
35,Br,-1044.972,12.25,0.079,Br,7,3.741,4,17
36,Kr,-1038.046,12.843,0.192,Kr,8,3.245,4,18
37,Rb,-1039.032,13.45,0.055,Rb_pv,7,2.922,5,1
38,Sr,-1042.757,13.336,-0.064,Sr_sv,10,3.362,5,2
39,Y,-1050.536,13.005,0.009,Y_sv,11,3.943,5,3
40,Zr,-1054.382,12.531,-0.444,Zr_sv,12,4.515,5,4
41,Nb,-1056.313,12.15,-0.759,Nb_pv,11,5.004,5,5
42,Mo,-1057.191,11.789,-0.831,Mo,6,5.177,5,6
43,Tc,-1056.398,11.654,-0.604,Tc,7,5.279,5,7
44,Ru,-1055.099,11.735,0.227,Ru,8,4.955,5,8
45,Rh,-1053.442,11.926,0.597,Rh,9,4.645,5,9
46,Pd,-1050.973,12.207,0.365,Pd,10,3.848,5,10
47,Ag,-1047.059,12.463,0.057,Ag,11,3.789,5,11
48,Cd,-1045.055,12.551,-0.079,Cd,12,3.968,5,12
49,In,-1047.438,12.584,-0.255,In,3,4.18,5,13
50,Sn,-1049.29,12.568,-0.214,Sn,4,4.729,5,14
51,Sb,-1049.746,12.492,-0.093,Sb,5,5.136,5,15
52,Te,-1048.346,12.472,-0.065,Te,6,5.266,5,16
53,I,-1044.753,12.593,-0.012,I,7,5.119,5,17
54,Xe,-1037.793,13.134,0.144,Xe,8,4.518,5,18
55,Cs,-1039.334,13.322,0.03,Cs_sv,9,4.395,6,1
56,Ba,-1042.107,13.639,-0.125,Ba_sv,10,4.602,6,2
57,La,-1048.388,13.025,-0.019,La,11,5.144,9,4
58,Ce,-1051.032,12.533,-0.244,Ce,12,5.311,9,5
59,Pr,-1052.035,12.295,-1.322,Pr,13,5.227,9,6
60,Nd,-1052.843,12.412,-2.722,Nd,14,5.0,9,7
61,Pm,-1053.945,12.546,-3.938,Pm,15,4.765,9,8
62,Sm,-1055.274,12.689,-5.102,Sm,16,4.542,9,9
63,Eu,-1053.505,12.879,-6.259,Eu,17,4.264,9,10
64,Gd,-1058.267,12.945,-6.698,Gd,18,4.297,9,11
65,Tb,-1056.666,12.746,-5.888,Tb,19,4.357,9,12
66,Dy,-1054.977,12.704,4.764,Dy,20,4.3,9,13
67,Ho,-1053.473,12.732,3.708,Ho,21,4.168,9,14
68,Er,-1052.161,12.749,2.697,Er,22,4.071,9,15
69,Tm,-1051.133,12.775,1.617,Tm,23,4.05,9,16
70,Yb,-1045.266,12.834,0.42,Yb,24,,9,17
71,Lu,-1049.22,12.855,0.029,Lu,25,4.152,9,18
72,Hf,-1056.183,12.426,-0.583,Hf,4,4.747,6,4
73,Ta,-1058.397,12.087,-0.797,Ta,5,5.428,6,5
74,W,-1059.206,11.802,-0.803,W,6,5.73,6,6
75,Re,-1058.603,11.684,-0.635,Re,7,6.015,6,7
76,Os,-1057.168,11.766,-0.112,Os,8,5.795,6,8
77,Ir,-1055.231,11.94,0.378,Ir,9,5.317,6,9
78,Pt,-1052.537,12.21,0.37,Pt,10,4.674,6,10
79,Au,-1048.426,12.557,0.154,Au,11,4.391,6,11
80,Hg,-1044.225,12.793,-0.05,Hg,12,4.324,6,12
81,Tl,-1045.879,12.744,-0.225,Tl,3,4.42,6,13
82,Pb,-1047.386,12.877,-0.205,Pb,4,4.773,6,14
83,Bi,-1047.73,12.984,-0.151,Bi,5,5.075,6,15
84,Po,-1046.639,13.037,-0.094,Po,6,5.293,6,16
85,At,-1043.501,13.179,-0.042,At,7,5.308,6,17
86,Rn,-1038.093,13.336,0.017,Rn,8,5.226,6,18
87,Fr,-1038.956,13.579,0.023,Fr_sv,9,5.025,7,1
88,Ra,-1041.273,13.666,0.013,Ra_sv,10,5.334,7,2
89,Ac,-1046.366,13.498,-0.002,Ac,11,5.771,10,4
90,Th,-1051.973,13.058,-0.062,Th,12,6.262,10,5
91,Pa,-1055.5,12.461,-0.34,Pa,13,6.537,10,6
92,U,-1057.555,12.073,-1.052,U,14,6.403,10,7
